"Organization Name","Date(s) of Breach  (if known)","Reported Date"
"Warner Norcross and Judd, LLP","06/28/2021, 10/22/2021","08/17/2022"
"Service by Medallion, Inc.","08/21/2021, 01/16/2022","08/16/2022"
"HanesBrands Inc.","05/24/2022","08/16/2022"
"Burnt Ridge Nursery and Orchards, Inc.","09/18/2020","08/16/2022"
"San Diego American Indian Health Center","05/05/2022","08/15/2022"
"Perkins & Company, PC","11/08/2020, 12/03/2020","08/12/2022"
"OneTouchPoint, Inc","04/27/2022, 04/28/2022","08/12/2022"
"City of Maywood","01/05/2022, 03/06/2022","08/11/2022"
"United Health Centers of the San Joaquin Valley","08/24/2021, 08/28/2021","08/11/2022"
"Biolase, Inc.","12/21/2021, 12/29/2021","08/11/2022"
"Valent U.S.A. LLC","10/14/2021","08/11/2022"
"Smith, Gambrell & Russell, LLP","08/09/2021","08/08/2022"
"Sarku Japan","01/14/2022","08/08/2022"
" Yellow Social Interactive Limited   2 Irish Town, ","04/27/2022","08/08/2022"
"Proformance Associates, Inc.","06/29/2022","08/05/2022"
"Cornerstone National Insurance Company","11/29/2021","08/05/2022"
"R.R. Donnelley & Sons Company","11/29/2021","08/05/2022"
"Practice Resources, LLC, on behalf of entities to which PRL provides professional services","04/12/2022","08/04/2022"
"TransUnion LLC","08/04/2021, 01/31/2022","08/04/2022"
"Marymount Manhattan College","11/09/2021","08/03/2022"
"Gibson Overseas, Inc.","03/25/2022","08/03/2022"
"Information Dynamics Incorporated dba SinglePoint","05/20/2022","08/03/2022"
"Orange Business Services U.S., Inc.","01/04/2022","08/03/2022"
"A. Duda & Sons Inc.","06/19/2022, 07/10/2022","08/03/2022"
"Lower LLC","12/10/2022, 12/14/2022","08/02/2022"
"RINA Accountants & Advisors","02/28/2022, 06/06/2022","08/01/2022"
"CareSource","04/27/2022, 04/28/2022","08/01/2022"
"California Department of Justice","06/27/2022","07/30/2022"
"Capsule","04/05/2022","07/30/2022"
"San Gabriel Unified School District","","07/29/2022"
"Illuminate Education, Inc. on behalf of Greenfield Union School District","12/28/2021, 01/08/2022","07/29/2022"
"Mall Services Group LLC","09/18/2020, 02/03/2022","07/29/2022"
"Del Grande Dealer Group","11/28/2021, 04/12/2022","07/28/2022"
"Gatto, Pope & Walwick, LLP","03/17/2022, 05/08/2022","07/27/2022"
"Aetna","04/28/2022","07/27/2022"
"BECU","05/18/2022, 06/02/2022","07/25/2022"
"Zulily, LLC","02/23/2022, 06/15/2022","07/22/2022"
"Shields Health Care Group, Inc.","03/07/2022, 03/28/2022","07/22/2022"
"Clinivate, LLC","03/12/2022","07/22/2022"
"Arndt Electronics d/b/a Jameco Electronics","04/23/2022","07/22/2022"
"AllOne Health","09/01/2021, 03/24/2022","07/20/2022"
"PPA Holdings, Inc.","07/23/2019, 03/08/2022","07/19/2022"
"Kaiser Foundation Health Plan, Inc., Southern California","05/20/2022","07/15/2022"
"Heritage Life Insurance Company","03/12/2022","07/14/2022"
"KMJ Corbin & Company LLP","","07/13/2022"
"Lawson Products, Inc. ","02/02/2022, 02/03/2022, 02/04/2022, 02/05/2022, 02/06/2022, 02/07/2022, 02/08/2022","07/13/2022"
"Medical Review Institute of America","11/02/2021","07/13/2022"
"Klein DeNatale Goldner ","11/18/2021","07/13/2022"
"Blue Shield of California","04/28/2022","07/12/2022"
"Warner Norcross and Judd, LLP","06/28/2021","07/11/2022"
"Afni, Inc.","06/07/2021","07/11/2022"
"Spectrum Eye Physicians","10/26/2021, 12/04/2021","07/11/2022"
"LendingTree, LLC","02/14/2022","07/11/2022"
"California Department of Corrections & Rehabilitation - California Correctional Health Care Services ","05/26/2022","07/08/2022"
"Chefs' Toys, LLC","11/12/2021, 04/26/2022","07/08/2022"
"Central Licensing Bureau","11/29/2021","07/08/2022"
"Princeton University","04/28/2020","07/08/2022"
"Petersen International Underwriters","","07/06/2022"
"Sixt Rent-a-Car, LLC","04/27/2022, 05/01/2022","07/06/2022"
"Ernest Packaging Solutions","05/19/2022","07/04/2022"
"WellDyneRx, LLC","10/30/2021, 11/17/2021","07/01/2022"
"ATC Healthcare Services, LLC","02/09/2021, 12/22/2021","07/01/2022"
"Professional Finance Company, Inc.","02/22/2022","07/01/2022"
"Illuminate Education, Inc. (on behalf of Waterford Unified School District)","12/28/2021, 01/08/2022","07/01/2022"
"The People Concern","04/06/2021, 12/09/2021","06/30/2022"
"Comstar LLC","03/19/2022, 03/26/2022","06/30/2022"
"Michigan Avenue Immediate Care ","11/11/2021, 05/04/2022","06/30/2022"
"PlanMember Securities Corporation","02/17/2022","06/29/2022"
"Bill Pollard CPA","03/31/2022","06/28/2022"
"MCG Health","","06/28/2022"
"Baptist Medical Center","03/31/2022, 04/24/2022","06/24/2022"
"Pandemic Response Lab","09/06/2021","06/24/2022"
"Alameda Health System","04/30/2020, 02/28/2022","06/24/2022"
"Bank of the West","","06/23/2022"
"Covenant Care California, LLC, on behalf of relevant home health agencies","02/24/2022, 03/22/2022","06/22/2022"
"Unrivaled Brands dba Silver Streak, Inc. ","04/06/2022","06/19/2022"
"Flagstar Bank, FSB","12/03/2021, 12/04/2021","06/17/2022"
"Fishman Vision","","06/17/2022"
"Greenheart Farms Inc. ","01/22/2022, 04/04/2022","06/16/2022"
"ADM Associates, Inc.","09/15/2021","06/15/2022"
"Baptist Medical Center","03/31/2022, 04/24/2022","06/15/2022"
"Comstar LLc","03/19/2022, 03/26/2022","06/14/2022"
"Shapiro Tax Group LLP","03/01/2022","06/13/2022"
"Delta Group Electronics Inc","11/04/2021","06/12/2022"
"Danaher Corporation","12/29/2020, 02/25/2022","06/10/2022"
"Simpson University ","07/29/2021, 09/17/2021","06/10/2022"
"PracticeMax","04/17/2021, 05/05/2021","06/10/2022"
"90 Degree Benefits, Inc.","01/28/2022","06/10/2022"
"Alliance Physical Therapy Partners","12/23/2021","06/10/2022"
"Illuminate Education, Inc. (on behalf of Ventura Unified School District)","12/28/2021, 01/08/2022","06/10/2022"
"Horizon Actuarial Services, LLC","11/10/2021","06/09/2022"
"Choice Health Insurance, LLC","05/07/2022","06/08/2022"
"Survival Servers, LLC","06/04/2022","06/07/2022"
"Lincare Holdings Inc.","09/10/2021, 09/29/2021","06/06/2022"
"Numrich Gun Parts Corporation","01/23/2022, 04/05/2022","06/06/2022"
"Express Scripts, Inc.","04/30/2022","06/03/2022"
"Varsity Tutors LLC","11/01/2021, 11/06/2021","06/03/2022"
"On Deck Capital, Inc.","03/10/2022","06/03/2022"
"ECS Tuning, LLC operating as Rennline Automotive (“Rennline”)","09/21/2020, 02/03/2022","06/03/2022"
"Shutterfly, LLC","12/03/2021","06/02/2022"
"Rainier Arms","06/01/2021, 01/19/2022","06/02/2022"
"The Lanier Law Firm PLLC","02/02/2021, 02/21/2021","06/02/2022"
"Lower LLC","12/10/2021, 12/14/2021","05/27/2022"
"Perkins & Company, PC","11/08/2020, 12/03/2020","05/27/2022"
"Capsule","04/05/2022","05/27/2022"
"Illuminate Education, Inc. (on behalf of Riverside County Office of Education)","12/28/2021, 01/08/2022","05/27/2022"
"Aon Plc","05/29/2020, 03/01/2022","05/26/2022"
"Ceres Unified School District","12/28/2021, 01/08/2022","05/26/2022"
"Elephant Insurance Services, LLC","03/26/2022, 04/01/2022","05/25/2022"
"Horizon Actuarial Services, LLC","11/10/2021","05/24/2022"
"Andrew Lundholm CPA ","04/13/2022","05/24/2022"
"North Orange County Community College District","12/07/2021, 01/10/2022","05/24/2022"
"C.R. England, Inc.","10/30/2021","05/24/2022"
"Singleton Schreiber, LLP","10/03/2021","05/24/2022"
"San Mateo County Transit District","06/02/2021","05/23/2022"
"Sterling Valley Systems d/b/a Inntopia","10/09/2021, 02/18/2022","05/23/2022"
"Leiters, Inc.","04/06/2022, 04/08/2022","05/23/2022"
"Biolase, Inc.","12/21/2021, 12/29/2021","05/23/2022"
"Nederlander Theatrical Corp.  ","11/21/2021, 11/22/2021","05/20/2022"
"Illuminate Education, Inc. (on behalf of Los Angeles Unified School District)","12/28/2021, 01/08/2022","05/20/2022"
"Julieta Y. Echeverria D.D.S., Inc.","03/23/2022","05/20/2022"
"JDC Healthcare Management LLC","07/27/2021, 08/11/2021","05/19/2022"
"Horizon Actuarial Services, LLC","11/10/2021","05/18/2022"
"Partnership HealthPlan of California","03/19/2022","05/18/2022"
"Anthem Blue Cross ","01/24/2022","05/18/2022"
"First Financial Credit Union (""FFCU"")","01/17/2022, 02/07/2022","05/18/2022"
"Covenant Care California, LLC, on behalf of relevant home health agency ","02/24/2022, 03/04/2022","05/17/2022"
"Can Lines Engineering, Inc.","03/05/2022, 03/25/2022","05/16/2022"
"General Motors Company","04/11/2022, 04/29/2022","05/16/2022"
"Assurance IQ, LLC and USA Family Protection Insurance Services, LLC","11/13/2020","05/13/2022"
"Illuminate Education, Inc. (on behalf of Rocklin Unified School District)","12/28/2021, 01/08/2022","05/13/2022"
"48forty Solutions, LLC","12/31/2021","05/13/2022"
"Parker-Hannifin Corporation","03/11/2022, 03/14/2022","05/12/2022"
"Horizon Actuarial Services, LLC","11/10/2021","05/10/2022"
"Medical Review Institute of America","11/02/2021","05/10/2022"
"MX Holdings US, Inc.","08/17/2021","05/10/2022"
"Area Wide Protective","11/30/2021","05/10/2022"
"Acuity International ","04/09/2020","05/10/2022"
"Covenant Care California, LLC, on behalf of relevant affiliated nursing facilities ","02/24/2022","05/09/2022"
"FPS Medical Center","02/28/2022, 03/03/2022","05/06/2022"
"Cornish College of the Arts ","06/06/2021, 06/10/2021","05/06/2022"
"University of Southern California","09/28/2021","05/05/2022"
"El Monte RV Rental and Sales","01/22/2022, 01/24/2022","05/05/2022"
"Paramit Corporation","","05/05/2022"
"Wells Fargo Bank, N.A.","12/31/2021","05/05/2022"
"Rocklin Unified School District","12/28/2021, 01/08/2022","05/04/2022"
"Salusive Health Inc./MyNurse","03/03/2022, 03/07/2022","04/29/2022"
"Advent Health Partners, Inc.","07/14/2021, 08/27/2021","04/27/2022"
"AUTOPAY Direct, Inc.","02/02/2022, 02/03/2022","04/26/2022"
"Liberty Partners Financial Services, LLC","09/17/2021","04/25/2022"
"Jewish Family and Children’s Services","02/09/2022","04/25/2022"
"National Imaging Associates, Inc.","11/01/2021, 03/08/2022","04/22/2022"
"DialAmerica Marketing, Inc.","02/02/2022, 07/09/2021","04/21/2022"
"Rialto Markets LLC","11/30/2021","04/21/2022"
"Los Angeles County Department of Mental Health","10/18/2021","04/20/2022"
"Creative Services, Inc., on its behalf and on behalf of relevant data owners","11/23/2021","04/18/2022"
"UNITE HERE Retirement Fund","11/12/2021","04/18/2022"
"PlanMember Securities Corporation","02/17/2022","04/15/2022"
"Horizon Actuarial Services, LLC","11/10/2021","04/15/2022"
"Contra Costa County","06/24/2021, 08/12/2021","04/15/2022"
"Kingsley and Kingsley Lawyers","08/21/2021","04/15/2022"
"Chiropractique, Inc.","","04/15/2022"
"Medscan Labratory, Inc. (""Adaptive Health Integrations"")","10/17/2021","04/15/2022"
"Center for Sustainable Energy","11/17/2022, 04/05/2022","04/14/2022"
"TransNational Bankcard L.L.C.","02/08/2021, 02/24/2021","04/13/2022"
"Tennis Warehouse, LLC","10/01/2021","04/12/2022"
"Tackle Warehouse, LLC","10/01/2021","04/12/2022"
"Skate Warehouse, LLC","10/01/2021","04/12/2022"
"Running Warehouse, LLC","10/01/2021","04/12/2022"
"Horizon Actuarial Services, LLC","11/10/2021","04/11/2022"
"Shoring Engineers, Inc., Structural Shotcrete Systems, Inc. and Santa Fe Building and Equipment","12/02/2021","04/08/2022"
"Plumas County, California ","10/20/2021, 11/14/2021","04/08/2022"
"Stevens & Lee","06/28/2021","04/08/2022"
"EMC National Life Company","12/28/2021, 12/30/2021","04/08/2022"
"Snap-on, Inc. ","03/03/2022","04/07/2022"
"Pingora Loan Servicing, LLC","10/27/2021, 12/07/2021","04/06/2022"
"Sterling Valley Systems d/b/a Inntopia","10/09/2021, 02/18/2022","04/05/2022"
"IRA Financial Trust","02/02/2022","04/05/2022"
"City of Hercules, California","11/16/2021, 12/24/2021","04/04/2022"
"Sea Mar Community Health Centers","12/12/2020, 03/15/2021","04/01/2022"
"Veterans Medical Research Foundation","09/13/2021, 12/02/2021","04/01/2022"
"Tangible Solutions, Inc.","10/24/2021","03/31/2022"
"IRA Financial Trust","02/02/2022","03/30/2022"
"Fiondella, Milone & LaSaracina LLP, on behalf of relevant Data Owner(s)","09/09/2021","03/29/2022"
"Super Care, Inc. dba SuperCare Health","07/23/2021","03/25/2022"
"Horizon Actuarial Services, LLC","11/10/2021","03/25/2022"
"Medsurant Holdings, LLC","09/23/2021, 09/30/2021","03/25/2022"
"North Orange County Community College District","12/07/2021, 01/10/2022","03/25/2022"
"Marten Transport, Ltd.","09/30/2021, 10/04/2021","03/25/2022"
"Shutterfly, LLC","12/03/2021","03/23/2022"
"Leerburg Enterprises, Inc.","09/08/2020, 11/24/2021","03/23/2022"
"Charles Schwab & Co., Inc.","05/18/2021, 12/16/2021","03/23/2022"
"Horizon Actuarial Services, LLC","11/10/2021","03/22/2022"
"Alacrity Solutions Group, LLC","03/01/2021, 03/03/2021","03/22/2022"
"Major League Baseball Players Benefit Plan","11/12/2021","03/22/2022"
"Citadel Servicing Corporation dba Acra Lending","03/31/2021, 08/24/2021","03/22/2022"
"Morley Companies, Inc.","07/20/2021","03/21/2022"
"First Financial Merchant Services, LLC d/b/a Payscape","05/01/2019","03/18/2022"
"Lakeview Loan Servicing, LLC","10/27/2021, 12/07/2021","03/18/2022"
"Clinic of North Texas LLP","10/04/2021","03/18/2022"
"Wolff-ST, LLC d/b/a Marmi and Wolff Shoe ","08/29/2021","03/16/2022"
"Comprehensive Health Services","04/09/2020, 10/22/2020","03/16/2022"
"Sarku Japan","01/13/2022, 02/06/2022","03/16/2022"
"The Caddo Parish District Attorney’s Office","10/24/2021, 11/04/2021","03/15/2022"
"Penn LLC d/b/a Pulse TV","11/01/2019, 02/02/2022","03/15/2022"
"American Financial Resources Inc.","12/06/2021","03/11/2022"
"Ritchie Bros. Auctioneers ","10/28/2021, 11/15/2021","03/11/2022"
"GreenSlate LLC","12/10/2021, 12/15/2021","03/09/2022"
"Horizon Actuarial Services, LLC","11/10/2021","03/09/2022"
"Barlow Respiratory Hospital","08/21/2021, 09/01/2021","03/04/2022"
"Monongalia Health System, Inc.","12/08/2021, 12/19/2021","02/28/2022"
"Compton Eye Care Optometry","11/03/2021","02/28/2022"
"JDC Healthcare Management LLC","07/27/2021, 08/11/2021","02/25/2022"
"Washington State Department of Licensing","","02/25/2022"
"Bako Diagnostics","12/21/2021, 12/22/2021, 12/23/2021, 12/24/2021, 12/25/2021, 12/26/2021, 12/27/2021, 12/28/2021","02/25/2022"
"Creative Services, Inc., on its behalf and on behalf of relevant data owners","11/23/2021","02/23/2022"
"Logan Health Medical Center","11/18/2021, 11/22/2021","02/22/2022"
"Pekin Insurance ","12/04/2021","02/22/2022"
"JMA Energy","","02/22/2022"
"Meyer Corporation, U.S.","10/25/2021","02/18/2022"
"Nelnet Campus Commerce","01/17/2022, 01/19/2022","02/18/2022"
"Eichenbaum Comer & Ratynets AAC","10/04/2020, 10/08/2020","02/17/2022"
"The E. W. Scripps Company","01/12/2022","02/16/2022"
"Comprehensive Health Services","04/09/2020, 10/22/2020","02/15/2022"
"Orthopedic Associates of Hawaii","02/12/2021","02/15/2022"
"DPI Specialty Foods, Inc.","01/22/2021, 02/20/2021","02/11/2022"
"Utility Trailer Manufacturing Company","04/05/2021, 04/25/2021","02/11/2022"
"CVS Pharmacy","01/06/2022","02/11/2022"
"Ethos Technologies Inc.","07/15/2021","02/11/2022"
"California Department of Corrections and Rehabilitation","01/05/2022","02/08/2022"
"National Math and Science Initiative","09/23/2021, 10/18/2021","02/07/2022"
"City of Hesperia ","11/28/2021","02/07/2022"
"Faneuil, Inc.","04/21/2021","02/07/2022"
"Ohlone Community College District","01/20/2022","02/04/2022"
"Mortgage Connect LP","08/24/2021","02/04/2022"
"John Stokes Financial (“JSF”)","10/07/2021, 10/14/2021","02/03/2022"
"Medical Review Institute of America","11/02/2021","02/03/2022"
"PUMA North America, Inc.","12/11/2021","02/03/2022"
"Morley Companies, Inc.","07/20/2021, 09/02/2021","02/01/2022"
"Professional Personnel Services d/b/a Luttrell Staffing Group","06/01/2021, 06/18/2021","02/01/2022"
"Kenyon Companies, Inc.","08/25/2021","02/01/2022"
"Romeo Power, Inc.","10/21/2021, 10/27/2021","02/01/2022"
"Pellissippi State Community College","12/06/2021","02/01/2022"
"Accutech Systems Corporation","08/16/2021","01/29/2022"
"Keller Supply Company","11/22/2021","01/28/2022"
"Unum Group ""Unum""","10/28/2021, 11/15/2021","01/28/2022"
"ReproSource Fertility Diagnostics Inc.","08/08/2021","01/27/2022"
"UNCLE Credit Union","12/29/2021, 01/09/2022","01/26/2022"
"Lodi Unified School District","09/20/2021, 10/03/2021","01/26/2022"
"Midland University","01/18/2021","01/25/2022"
"Sacramento County Department of Child, Family & Adult Services","06/22/2021","01/25/2022"
"Aditi Consulting","12/09/2021, 12/10/2021","01/25/2022"
"Penn LLC d/b/a Pulse TV","11/01/2019, 08/31/2021","01/25/2022"
"Spencer Gifts LLC","11/24/2021, 11/26/2021","01/24/2022"
"Acme Press, Inc. dba Calitho","","01/24/2022"
"Seneca Family of Agencies","08/25/2021, 08/26/2021, 08/27/2021","01/21/2022"
"County of Kings, a political subdivision of the State of California","02/15/2021, 12/06/2021","01/21/2022"
"Nuna Baby Essentials, Inc. ","03/26/2020, 04/07/2021","01/21/2022"
"LendUS, LLC ","02/02/2021, 03/22/2021","01/19/2022"
"Pitco Foods ","11/06/2021","01/19/2022"
"The Young Men's and Young Women's Hebrew Association d/b/a 92nd Street Y","08/22/2021","01/18/2022"
"Medical Review Institute of America","11/02/2021","01/18/2022"
"American Family Life Insurance Company","12/05/2021","01/14/2022"
"Volunteers of America Southwest ","11/16/2021","01/14/2022"
"Fluid Components International LLC","09/17/2021, 11/08/2021","01/14/2022"
"Caring Communities","12/07/2020","01/14/2022"
"Jim Koons Automotive Company","05/19/2021, 06/05/2021","01/14/2022"
"Bet Tzedek Legal Services","06/28/2021, 09/03/2021","01/13/2022"
"Entira Family Clinics","12/04/2020","01/13/2022"
"Altura Credit Union","10/21/2021, 10/22/2021, 10/23/2021, 10/24/2021","01/11/2022"
"Harder + Company Community Research, Inc.","04/17/2022","01/11/2022"
"Minnesota Statewide Limited Energy J.A.T.C.","09/15/2021","01/10/2022"
"City of Grass Valley","04/13/2021, 07/01/2021","01/07/2022"
"Medical Review Institute of America","11/02/2021","01/07/2022"
"Eden Housing","05/18/2021, 08/11/2021","01/07/2022"
"Eastern Los Angeles Regional Center","07/15/2021","01/07/2022"
"Advent Health Partners, Inc.","07/14/2021, 08/27/2021","01/06/2022"
"Ebara Technologies, Inc.","11/10/2021","01/06/2022"
"Marquez Brothers International, Inc.","09/01/2021","01/05/2022"
"Marlabs, Inc.","05/27/2021","01/05/2022"
"Ravkoo","09/27/2021","01/03/2022"
"North Broward Hospital District d/b/a Broward Health ","10/15/2021","01/01/2022"
"Anthem, Inc. on behalf of its affiliated covered entities ","01/12/2021, 01/21/2021","12/31/2021"
"Phase II Systems, d/b/a PARS","03/31/2021, 05/24/2021","12/31/2021"
"Xanitos, Inc.","05/06/2021, 07/06/2021","12/30/2021"
"Barlow Respiratory Hospital","08/21/2021, 09/01/2021","12/30/2021"
"The Marker Group Inc.","09/03/2021","12/30/2021"
"Visalia Unified School District","01/01/2021, 06/03/2021","12/30/2021"
"HOYA Optical Labs of America, Inc.","03/15/2021","12/28/2021"
